epoch,train_data,train_phys,train_kl,train_state_reg,train_total,train_pde,train_bc,train_eta_prior,train_kl_only,test_data,test_phys,test_kl,test_state_reg,test_total,test_pde,test_bc,grad_mean_net,grad_vgp_eta,grad_vgp_lambda,grad_eta_log_shift,grad_ratio,vgp_updates,mean_updates,lr_mean_net,lr_vgp_eta,lr_vgp_lambda,mean_net_opt_kind,log10_eta_rmse,log10_eta_bias,log10_eta_r,rel_eta_rmse,eta_pred_mean,eta_ref_mean,mean_net_frozen,eta_min,eta_max,lambda_min,lambda_max,rux_min,rux_max,rvy_min,rvy_max,rh_min,rh_max,kernel_amplitude,kernel_length_scale,kernel_length_scale_x,kernel_length_scale_y,num_inducing,eta_post_var_mean,eta_post_std_mean,eta_post_std_p90,calibration_within_1sigma,calibration_within_2sigma,eta_log_shift,eta_median,eta_std,eta_max_over_min,eta_log10_range,eta_frac_at_floor,eta_frac_at_floor_grounded,eta_mean_grounded,eta_median_grounded,eta_min_grounded,eta_max_grounded
10,0.02861182644920617,-15.079790144702995,0.008907930053314509,0.0,-15.042270388200475,-15.079790144702995,nan,0.006714697512905988,0.0021932325404085268,0.030053780947161508,-15.08242103748198,0.009234436658263026,0.0,-15.043132819876556,-15.08242103748198,nan,0.0,0.03113995130055836,0.0,0.062460605188768864,0.0,362.0,0.0,,0.00029903905101205734,,,0.37398082571855057,-0.27491953256850615,0.570866727161409,0.5393077361235502,6.610542186545512,15.037234792103117,1,4.3104438037321335,9.530772431786945,inf,-inf,-0.04651631845958856,0.09519130603718094,-0.06749620394560994,0.07299400904602836,inf,-inf,1.783393720656001,0.09324172365447535,0.09324172365447535,0.09324172365447535,784,3.0651486476656795,1.7463624488791887,1.888279935877771,0.99951171875,1.0,-0.6080400562834751,6.668157102692095,1.0457383652526129,2.211088432131946,0.3446061124651473,0.0,0.0,6.536583139136016,6.7096887419605284,4.3104438037321335,9.530772431786945
11,0.02861555098313758,-15.085323657758805,0.009560866171856185,0.0,-15.047147240603811,-15.085323657758805,nan,0.007419953059603464,0.0021409131122527153,0.030053780947161508,-15.08242103748198,0.009234436658263026,0.0,-15.043132819876556,-15.08242103748198,nan,0.0,0.026253622897233212,0.0,0.050041060603105716,0.0,362.0,0.0,,0.0002988566316905992,,,0.37398082571855057,-0.27491953256850615,0.570866727161409,0.5393077361235502,6.610542186545512,15.037234792103117,1,4.3104438037321335,9.530772431786945,inf,-inf,-0.04419713215495437,0.08649617849538578,-0.059941611555600065,0.06820849058180435,inf,-inf,1.7628264242595646,0.09271584041165803,0.09271584041165803,0.09271584041165803,784,3.0651486476656795,1.7463624488791887,1.888279935877771,0.99951171875,1.0,-0.6080400562834751,6.668157102692095,1.0457383652526129,2.211088432131946,0.3446061124651473,0.0,0.0,6.536583139136016,6.7096887419605284,4.3104438037321335,9.530772431786945
12,0.0286021509254915,-15.089794214063438,0.010173967797791079,0.0,-15.051018095340156,-15.089794214063438,nan,0.008077850847308091,0.002096116950482988,0.030053780947161508,-15.08242103748198,0.009234436658263026,0.0,-15.043132819876556,-15.08242103748198,nan,0.0,0.02276986088288787,0.0,0.039933325978557234,0.0,362.0,0.0,,0.00029865843686835924,,,0.37398082571855057,-0.27491953256850615,0.570866727161409,0.5393077361235502,6.610542186545512,15.037234792103117,1,4.3104438037321335,9.530772431786945,inf,-inf,-0.04189169616171,0.07653328754853887,-0.056793294032718857,0.060550586967651095,inf,-inf,1.7428122491135245,0.09213055409222116,0.09213055409222116,0.09213055409222116,784,3.0651486476656795,1.7463624488791887,1.888279935877771,0.99951171875,1.0,-0.6080400562834751,6.668157102692095,1.0457383652526129,2.211088432131946,0.3446061124651473,0.0,0.0,6.536583139136016,6.7096887419605284,4.3104438037321335,9.530772431786945
13,0.02858204098182046,-15.093546104721828,0.010751355867926764,0.0,-15.05421270787208,-15.093546104721828,nan,0.008689665683890378,0.0020616901840363805,0.030053780947161508,-15.08242103748198,0.009234436658263026,0.0,-15.043132819876556,-15.08242103748198,nan,0.0,0.01928981476058127,0.0,0.031404364488143585,0.0,362.0,0.0,,0.00029844448827963323,,,0.37398082571855057,-0.27491953256850615,0.570866727161409,0.5393077361235502,6.610542186545512,15.037234792103117,1,4.3104438037321335,9.530772431786945,inf,-inf,-0.03886064625544684,0.07006876797534355,-0.05266308288698947,0.05735106835373058,inf,-inf,1.721121105547775,0.09156510854261571,0.09156510854261571,0.09156510854261571,784,3.0651486476656795,1.7463624488791887,1.888279935877771,0.99951171875,1.0,-0.6080400562834751,6.668157102692095,1.0457383652526129,2.211088432131946,0.3446061124651473,0.0,0.0,6.536583139136016,6.7096887419605284,4.3104438037321335,9.530772431786945
14,0.028595406136762033,-15.096603440318818,0.011268259980877205,0.0,-15.056739774201178,-15.096603440318818,nan,0.00923424303334384,0.002034016947533364,0.030053780947161508,-15.08242103748198,0.009234436658263026,0.0,-15.043132819876556,-15.08242103748198,nan,0.0,0.01689822224249095,0.0,0.024404569144972257,0.0,362.0,0.0,,0.0002982148093862949,,,0.37398082571855057,-0.27491953256850615,0.570866727161409,0.5393077361235502,6.610542186545512,15.037234792103117,1,4.3104438037321335,9.530772431786945,inf,-inf,-0.03778409376653312,0.06685941825050805,-0.04844216363122996,0.05372700215235488,inf,-inf,1.6992115260530565,0.09103474103417454,0.09103474103417454,0.09103474103417454,784,3.0651486476656795,1.7463624488791887,1.888279935877771,0.99951171875,1.0,-0.6080400562834751,6.668157102692095,1.0457383652526129,2.211088432131946,0.3446061124651473,0.0,0.0,6.536583139136016,6.7096887419605284,4.3104438037321335,9.530772431786945
15,0.02861914255408242,-15.099156531444615,0.011722318169905713,0.0,-15.058815070720627,-15.099156531444615,nan,0.009704834926408211,0.0020174832434975087,0.030053780947161508,-15.10028381092407,0.011907986516896285,0.0,-15.058322043460013,-15.10028381092407,nan,0.0,0.014810181382554783,0.0,0.01854968301346111,0.0,362.0,0.0,,0.00029796942537522314,,,0.39959765240193895,-0.3194707296672954,0.6182038316274888,0.5448957355100791,6.029971620780879,15.037234792103117,1,3.3930841820000968,9.41778826688851,inf,-inf,-0.03596384260212269,0.060648278309686374,-0.04462960145945915,0.05026746564483725,inf,-inf,1.678469366401194,0.09050162398254238,0.09050162398254238,0.09050162398254238,784,2.725265600076032,1.6464797928572381,1.7890610310919273,0.9957275390625,1.0,-0.7604240855281039,6.077818028209129,1.2846065738607282,2.775583440236686,0.4433542877261262,0.0,0.0,5.968806651818913,6.142705364442017,3.3930841820000968,9.41778826688851
16,0.02860613089360035,-15.101274813423958,0.012080373391700122,0.0,-15.060588309138657,-15.101274813423958,nan,0.010076413470402596,0.002003959921297511,0.030053780947161508,-15.10028381092407,0.011907986516896285,0.0,-15.058322043460013,-15.10028381092407,nan,0.0,0.01312205523201774,0.0,0.013763769907392523,0.0,362.0,0.0,,0.00029770836315553997,,,0.39959765240193895,-0.3194707296672954,0.6182038316274888,0.5448957355100791,6.029971620780879,15.037234792103117,1,3.3930841820000968,9.41778826688851,inf,-inf,-0.033988620831689895,0.05692782639383772,-0.0420474353166953,0.046807603121035046,inf,-inf,1.6565403103356322,0.09008116204131421,0.09008116204131421,0.09008116204131421,784,2.725265600076032,1.6464797928572381,1.7890610310919273,0.9957275390625,1.0,-0.7604240855281039,6.077818028209129,1.2846065738607282,2.775583440236686,0.4433542877261262,0.0,0.0,5.968806651818913,6.142705364442017,3.3930841820000968,9.41778826688851
17,0.028615744818562674,-15.103022799076848,0.012357874308534288,0.0,-15.062049179949751,-15.103022799076848,nan,0.010358607456750267,0.0019992668517840127,0.030053780947161508,-15.10028381092407,0.011907986516896285,0.0,-15.058322043460013,-15.10028381092407,nan,0.0,0.0116530296743542,0.0,0.009850101153005011,0.0,362.0,0.0,,0.0002974316513556598,,,0.39959765240193895,-0.3194707296672954,0.6182038316274888,0.5448957355100791,6.029971620780879,15.037234792103117,1,3.3930841820000968,9.41778826688851,inf,-inf,-0.03279444375061968,0.050888284461937966,-0.039097014821446154,0.04470208981622594,inf,-inf,1.6356066875593747,0.08964656957587987,0.08964656957587987,0.08964656957587987,784,2.725265600076032,1.6464797928572381,1.7890610310919273,0.9957275390625,1.0,-0.7604240855281039,6.077818028209129,1.2846065738607282,2.775583440236686,0.4433542877261262,0.0,0.0,5.968806651818913,6.142705364442017,3.3930841820000968,9.41778826688851
18,0.02860314193384872,-15.104493675129383,0.012555704813840229,0.0,-15.063334828381695,-15.104493675129383,nan,0.010552197019711,0.0020035077941292375,0.030053780947161508,-15.10028381092407,0.011907986516896285,0.0,-15.058322043460013,-15.10028381092407,nan,0.0,0.010521712240605541,0.0,0.006666469208482665,0.0,362.0,0.0,,0.0002971393203201496,,,0.39959765240193895,-0.3194707296672954,0.6182038316274888,0.5448957355100791,6.029971620780879,15.037234792103117,1,3.3930841820000968,9.41778826688851,inf,-inf,-0.0311280737302164,0.04955373767457663,-0.036420347874045945,0.04195745473465164,inf,-inf,1.6154050953572163,0.0892601835398491,0.0892601835398491,0.0892601835398491,784,2.725265600076032,1.6464797928572381,1.7890610310919273,0.9957275390625,1.0,-0.7604240855281039,6.077818028209129,1.2846065738607282,2.775583440236686,0.4433542877261262,0.0,0.0,5.968806651818913,6.142705364442017,3.3930841820000968,9.41778826688851
19,0.028587412141537042,-15.105675474473186,0.012641669633077342,0.0,-15.06444639269857,-15.105675474473186,nan,0.010629884405506723,0.0020117852275706137,0.030053780947161508,-15.10028381092407,0.011907986516896285,0.0,-15.058322043460013,-15.10028381092407,nan,0.0,0.009469203023931616,0.0,0.004391606024929105,0.0,362.0,0.0,,0.00029683140210640173,,,0.39959765240193895,-0.3194707296672954,0.6182038316274888,0.5448957355100791,6.029971620780879,15.037234792103117,1,3.3930841820000968,9.41778826688851,inf,-inf,-0.02940712059592561,0.045564977298362376,-0.03471365347762276,0.03890840125335367,inf,-inf,1.5952484472256323,0.08887264271671906,0.08887264271671906,0.08887264271671906,784,2.725265600076032,1.6464797928572381,1.7890610310919273,0.9957275390625,1.0,-0.7604240855281039,6.077818028209129,1.2846065738607282,2.775583440236686,0.4433542877261262,0.0,0.0,5.968806651818913,6.142705364442017,3.3930841820000968,9.41778826688851
