epoch,train_data,train_phys,train_kl,train_state_reg,train_total,train_pde,train_bc,train_eta_prior,train_kl_only,test_data,test_phys,test_kl,test_state_reg,test_total,test_pde,test_bc,grad_mean_net,grad_vgp_eta,grad_vgp_lambda,grad_eta_log_shift,grad_ratio,vgp_updates,mean_updates,lr_mean_net,lr_vgp_eta,lr_vgp_lambda,mean_net_opt_kind,log10_eta_rmse,log10_eta_bias,log10_eta_r,rel_eta_rmse,eta_pred_mean,eta_ref_mean,mean_net_frozen,eta_min,eta_max,lambda_min,lambda_max,rux_min,rux_max,rvy_min,rvy_max,rh_min,rh_max,kernel_amplitude,kernel_length_scale,kernel_length_scale_x,kernel_length_scale_y,num_inducing,eta_post_var_mean,eta_post_std_mean,eta_post_std_p90,calibration_within_1sigma,calibration_within_2sigma,eta_log_shift,eta_median,eta_std,eta_max_over_min,eta_log10_range,eta_frac_at_floor,eta_frac_at_floor_grounded,eta_mean_grounded,eta_median_grounded,eta_std_grounded,eta_min_grounded,eta_max_grounded,eta_max_over_min_grounded,eta_log10_range_grounded,n_points_grounded
0,37.72918943879391,3068.2822877234653,0.0017973421001730163,29.680853426829998,3135.694127931189,3068.2822877234653,nan,1.8153614886338679e-06,0.0017955267386843832,72.7007184971309,436.7527308077331,0.004074309940635613,45.75786181008882,555.2153854248934,436.7527308077331,nan,119855.14665207425,1718.421287901243,0.0,6085.270492617,69.74724271395449,46.0,46.0,,0.0002999920495579992,,,,,,,14.744237993121194,,0,14.514758063261743,15.01000338153308,inf,-inf,-23.907748894196352,26.66049827571321,-22.57260824569215,28.489983270533326,inf,-inf,1.9729088314596397,0.17903036472617245,0.17903036472617245,0.17903036472617245,784,3.958328430464411,1.9895019839827552,2.007953410553476,,,-0.013799068511906955,14.739149260164611,0.0720203943203725,1.034120122162067,0.01457098881799479,0.0,0.0,14.74536025972893,14.738844569983822,0.07415967644803652,14.514758063261743,15.01000338153308,1.034120122162067,0.01457098881799479,5910
1,81.54768101536685,229.0174284629893,0.0075191431049761595,51.15690942287496,361.72953804433604,229.0174284629893,nan,1.3428106938569825e-05,0.007505714998037588,72.7007184971309,436.7527308077331,0.004074309940635613,45.75786181008882,555.2153854248934,436.7527308077331,nan,6281.63606173952,86.73096604878043,0.0,431.536927295593,72.42668158690306,46.0,46.0,,0.00029996819910385256,,,,,,,14.744237993121194,,0,14.514758063261743,15.01000338153308,inf,-inf,-3.607943347169434,6.7999563465727615,-4.019900988146347,5.999441279093537,inf,-inf,1.9443516152257552,0.18144997379227884,0.18144997379227884,0.18144997379227884,784,3.958328430464411,1.9895019839827552,2.007953410553476,,,-0.013799068511906955,14.739149260164611,0.0720203943203725,1.034120122162067,0.01457098881799479,0.0,0.0,14.74536025972893,14.738844569983822,0.07415967644803652,14.514758063261743,15.01000338153308,1.034120122162067,0.01457098881799479,5910
2,75.38733010863362,76.93863334405758,0.014621131843970037,50.879945022954864,203.22052960749005,76.93863334405758,nan,3.781787744918252e-05,0.01458331396652086,72.7007184971309,436.7527308077331,0.004074309940635613,45.75786181008882,555.2153854248934,436.7527308077331,nan,3181.2161242749366,27.199835780965625,0.0,138.48849755420972,116.9571812819967,46.0,46.0,,0.000299928451253031,,,,,,,14.744237993121194,,0,14.514758063261743,15.01000338153308,inf,-inf,-2.24633449078244,2.745959865678089,-2.2775722702473753,2.2559395198137056,inf,-inf,1.9182553695020033,0.1838888805381806,0.1838888805381806,0.1838888805381806,784,3.958328430464411,1.9895019839827552,2.007953410553476,,,-0.013799068511906955,14.739149260164611,0.0720203943203725,1.034120122162067,0.01457098881799479,0.0,0.0,14.74536025972893,14.738844569983822,0.07415967644803652,14.514758063261743,15.01000338153308,1.034120122162067,0.01457098881799479,5910
3,63.13700062975901,38.16743533206378,0.019300946371262905,45.588065782603024,146.91180269079706,38.16743533206378,nan,7.41278945141757e-05,0.019226818476748727,72.7007184971309,436.7527308077331,0.004074309940635613,45.75786181008882,555.2153854248934,436.7527308077331,nan,2383.1689834845847,17.135673380838956,0.0,79.72711389018583,139.07647108571965,46.0,46.0,,0.0002998728103643344,,,,,,,14.744237993121194,,0,14.514758063261743,15.01000338153308,inf,-inf,-1.5085559170976404,1.432049510170799,-1.2551838280321885,2.098672974439983,inf,-inf,1.8965752595266292,0.18589921876772475,0.18589921876772475,0.18589921876772475,784,3.958328430464411,1.9895019839827552,2.007953410553476,,,-0.013799068511906955,14.739149260164611,0.0720203943203725,1.034120122162067,0.01457098881799479,0.0,0.0,14.74536025972893,14.738844569983822,0.07415967644803652,14.514758063261743,15.01000338153308,1.034120122162067,0.01457098881799479,5910
4,52.957641917944,23.41649754187583,0.025771091336149105,40.63669414388913,117.03660469504511,23.41649754187583,nan,0.0001205704674629084,0.025650520868686192,72.7007184971309,436.7527308077331,0.004074309940635613,45.75786181008882,555.2153854248934,436.7527308077331,nan,2039.3670887065334,15.890090985354437,0.0,55.54297869283833,128.3420649124146,46.0,46.0,,0.00029980128253941313,,,,,,,14.744237993121194,,0,14.514758063261743,15.01000338153308,inf,-inf,-1.2190543357002341,1.1363463756594332,-1.3503720180334162,1.3921596775080118,inf,-inf,1.88209788560324,0.18741517905442895,0.18741517905442895,0.18741517905442895,784,3.958328430464411,1.9895019839827552,2.007953410553476,,,-0.013799068511906955,14.739149260164611,0.0720203943203725,1.034120122162067,0.01457098881799479,0.0,0.0,14.74536025972893,14.738844569983822,0.07415967644803652,14.514758063261743,15.01000338153308,1.034120122162067,0.01457098881799479,5910
5,45.89612509995451,13.50316982358956,0.036661221342350295,36.84893450275794,96.28489064764436,13.50316982358956,nan,0.000174867199408297,0.036486354142942,42.538517405821906,10.233664157184347,0.03929021180274605,35.44019072546156,88.25166250027056,10.233664157184347,nan,1640.5011822240763,14.553442283941875,0.0,39.49229294424792,112.72255389600777,46.0,46.0,,0.0002997138756220993,,,,,,,13.497112308131612,,0,12.58774984628821,14.480094045072745,inf,-inf,-1.0797508742308288,1.1739668617068324,-1.304910878881363,0.9598156625592833,inf,-inf,1.8740418079213599,0.18841127282167372,0.18841127282167372,0.18841127282167372,784,3.7490680031939343,1.9353937408931072,1.9997219946078246,,,-0.08274575875479591,13.509308779941453,0.26892266148981736,1.1503322056676029,0.06082327883501404,0.0,0.0,13.513637186339112,13.525543124457887,0.2514581423623429,12.66131745859683,14.337340758838762,1.1323735310896845,0.0539897093012951,5910
6,42.229667395751456,6.609799190323529,0.04104360714916388,34.04055779986117,82.92106799308532,6.609799190323529,nan,0.00023818895535251635,0.04080541819381137,42.538517405821906,10.233664157184347,0.03929021180274605,35.44019072546156,88.25166250027056,10.233664157184347,nan,1401.687216984281,11.143888084459206,0.0,28.02398011592261,125.78080525943315,46.0,46.0,,0.0002996105991975463,,,,,,,13.497112308131612,,0,12.58774984628821,14.480094045072745,inf,-inf,-0.9072862312207455,0.9676865645255164,-0.841440777686229,1.3153262954444378,inf,-inf,1.871060625974202,0.18890557355337673,0.18890557355337673,0.18890557355337673,784,3.7490680031939343,1.9353937408931072,1.9997219946078246,,,-0.08274575875479591,13.509308779941453,0.26892266148981736,1.1503322056676029,0.06082327883501404,0.0,0.0,13.513637186339112,13.525543124457887,0.2514581423623429,12.66131745859683,14.337340758838762,1.1323735310896845,0.0539897093012951,5910
7,40.65210041704834,3.065004926853248,0.04444610222465735,32.24795471942177,76.009506165548,3.065004926853248,nan,0.00031136626849117166,0.04413473595616618,42.538517405821906,10.233664157184347,0.03929021180274605,35.44019072546156,88.25166250027056,10.233664157184347,nan,1224.7042876276573,8.999887480756577,0.0,21.903592790107638,136.07995547125466,46.0,46.0,,0.000299491464591178,,,,,,,13.497112308131612,,0,12.58774984628821,14.480094045072745,inf,-inf,-0.9588048722456546,1.0299300891119034,-0.7966605670040341,1.1342059306264523,inf,-inf,1.8705444393563637,0.18913887484238698,0.18913887484238698,0.18913887484238698,784,3.7490680031939343,1.9353937408931072,1.9997219946078246,,,-0.08274575875479591,13.509308779941453,0.26892266148981736,1.1503322056676029,0.06082327883501404,0.0,0.0,13.513637186339112,13.525543124457887,0.2514581423623429,12.66131745859683,14.337340758838762,1.1323735310896845,0.0539897093012951,5910
8,39.7232385634065,0.36906792508304936,0.04779425279462187,30.971564341645784,71.11166508292996,0.36906792508304936,nan,0.00039579836463043023,0.04739845442999142,42.538517405821906,10.233664157184347,0.03929021180274605,35.44019072546156,88.25166250027056,10.233664157184347,nan,1450.439976870223,6.683259708096495,0.0,17.765959377219065,217.02582874537623,46.0,46.0,,0.00029935648486744646,,,,,,,13.497112308131612,,0,12.58774984628821,14.480094045072745,inf,-inf,-0.7207157330138961,1.0086019326303701,-0.7333128075037352,0.6662988195231132,inf,-inf,1.8726111424584173,0.18900095997384012,0.18900095997384012,0.18900095997384012,784,3.7490680031939343,1.9353937408931072,1.9997219946078246,,,-0.08274575875479591,13.509308779941453,0.26892266148981736,1.1503322056676029,0.06082327883501404,0.0,0.0,13.513637186339112,13.525543124457887,0.2514581423623429,12.66131745859683,14.337340758838762,1.1323735310896845,0.0539897093012951,5910
9,39.10336309191453,-1.4572027467203799,0.050278044960106474,29.81667360730176,67.51311199745602,-1.4572027467203799,nan,0.0004907104767679993,0.04978733448333848,42.538517405821906,10.233664157184347,0.03929021180274605,35.44019072546156,88.25166250027056,10.233664157184347,nan,1338.91017772886,5.780842261127787,0.0,14.950871794859463,231.61160904391318,46.0,46.0,,0.00029920567482839947,,,,,,,13.497112308131612,,0,12.58774984628821,14.480094045072745,inf,-inf,-0.6634453664948438,0.8672261245720227,-0.9983923389604085,0.6426111371231704,inf,-inf,1.8782986340143835,0.18862575278299154,0.18862575278299154,0.18862575278299154,784,3.7490680031939343,1.9353937408931072,1.9997219946078246,,,-0.08274575875479591,13.509308779941453,0.26892266148981736,1.1503322056676029,0.06082327883501404,0.0,0.0,13.513637186339112,13.525543124457887,0.2514581423623429,12.66131745859683,14.337340758838762,1.1323735310896845,0.0539897093012951,5910
10,38.496457534227325,-3.0226615797397414,0.050514764266898056,28.886714548818713,64.4110252675732,-3.0226615797397414,nan,0.0005950925904102641,0.04991967167648778,37.327876838668246,-2.824257952143752,0.04980079695966663,28.171106856310463,62.724526539794624,-2.824257952143752,nan,1155.2767984151956,5.1723800608564385,0.0,12.842443590761086,223.35497098484788,46.0,46.0,,0.00029903905101205734,,,,,,,12.427278111695891,,0,11.043486028141063,13.911740163176738,inf,-inf,-0.6103462972006466,0.8048261558690137,-0.7702345481437032,0.5067153872908813,inf,-inf,1.8866085090997193,0.1880360514452383,0.1880360514452383,0.1880360514452383,784,3.628145003766408,1.9025221916858086,2.0051233663966013,,,-0.15154456039594938,12.441532787182773,0.4045898830624592,1.2597236169563466,0.1002752714689581,0.0,0.0,12.497523664238614,12.514094558318575,0.3854448133739772,11.271763051633036,13.664825704538528,1.212305975732766,0.08361224590418082,5910
11,37.650453146508674,-4.036284138928511,0.049051641647927385,27.822208449825286,61.48542909905338,-4.036284138928511,nan,0.000707328308101337,0.04834431333982603,37.327876838668246,-2.824257952143752,0.04980079695966663,28.171106856310463,62.724526539794624,-2.824257952143752,nan,1175.1378493224722,4.434682063150077,0.0,11.18544632851659,264.98807188169417,46.0,46.0,,0.0002988566316905992,,,,,,,12.427278111695891,,0,11.043486028141063,13.911740163176738,inf,-inf,-0.48371545210215244,0.8288443661430488,-0.7728446165516936,0.8731245089905498,inf,-inf,1.895205436055915,0.18745692467286582,0.18745692467286582,0.18745692467286582,784,3.628145003766408,1.9025221916858086,2.0051233663966013,,,-0.15154456039594938,12.441532787182773,0.4045898830624592,1.2597236169563466,0.1002752714689581,0.0,0.0,12.497523664238614,12.514094558318575,0.3854448133739772,11.271763051633036,13.664825704538528,1.212305975732766,0.08361224590418082,5910
12,37.08013784701847,-4.7843858328108215,0.04908500558270657,27.13421814594613,59.47905516573648,-4.7843858328108215,nan,0.0008280076583059247,0.04825699792440068,37.327876838668246,-2.824257952143752,0.04980079695966663,28.171106856310463,62.724526539794624,-2.824257952143752,nan,1419.8403693283592,3.7628067588436744,0.0,10.086212619289938,377.335446735692,46.0,46.0,,0.00029865843686835924,,,,,,,12.427278111695891,,0,11.043486028141063,13.911740163176738,inf,-inf,-0.5439948066292862,0.8353403631610817,-0.7419744514886004,0.4835208159488092,inf,-inf,1.9057537091826922,0.18691972632850506,0.18691972632850506,0.18691972632850506,784,3.628145003766408,1.9025221916858086,2.0051233663966013,,,-0.15154456039594938,12.441532787182773,0.4045898830624592,1.2597236169563466,0.1002752714689581,0.0,0.0,12.497523664238614,12.514094558318575,0.3854448133739772,11.271763051633036,13.664825704538528,1.212305975732766,0.08361224590418082,5910
