epoch,train_data,train_phys,train_kl,train_state_reg,train_total,train_pde,train_bc,train_eta_prior,train_kl_only,test_data,test_phys,test_kl,test_state_reg,test_total,test_pde,test_bc,grad_mean_net,grad_vgp_eta,grad_vgp_lambda,grad_eta_log_shift,grad_ratio,vgp_updates,mean_updates,lr_mean_net,lr_vgp_eta,lr_vgp_lambda,mean_net_opt_kind,log10_eta_rmse,log10_eta_bias,log10_eta_r,rel_eta_rmse,eta_pred_mean,eta_ref_mean,mean_net_frozen,eta_min,eta_max,lambda_min,lambda_max,rux_min,rux_max,rvy_min,rvy_max,rh_min,rh_max,kernel_amplitude,kernel_length_scale,kernel_length_scale_x,kernel_length_scale_y,num_inducing,eta_post_var_mean,eta_post_std_mean,eta_post_std_p90,calibration_within_1sigma,calibration_within_2sigma,eta_log_shift,eta_median,eta_std,eta_max_over_min,eta_log10_range,eta_frac_at_floor,eta_frac_at_floor_grounded,eta_mean_grounded,eta_median_grounded,eta_std_grounded,eta_min_grounded,eta_max_grounded,eta_max_over_min_grounded,eta_log10_range_grounded,n_points_grounded
0,21.55851354190122,6135.516549636596,0.0011250221001657317,24.66590408470452,6181.7420922853025,6135.516549636596,nan,9.014369856824746e-07,0.0011241206631800494,51.17303157582771,1105.8612376745998,0.0027989022394166816,58.923024977169206,1215.9600931298362,1105.8612376745998,nan,252278.21556652637,3598.005768257324,0.0,12320.552720068981,70.11612315694427,46.0,46.0,,0.00029999911661037957,,,,,,,14.747631977323467,,0,14.517265242404855,15.00764355958037,inf,-inf,-24.717723872762758,26.66049827571321,-24.450535955022143,28.489983270533326,inf,-inf,1.9727785051425049,0.17907692539679868,0.17907692539679868,0.17907692539679868,784,3.961376257256014,1.99026148499417,2.009654979933707,,,-0.01379906851292933,14.741812635802699,0.07524337160708078,1.033778973449016,0.014427694587396234,0.0,0.0,14.753891399387403,14.743369555788698,0.07414768231798294,14.517265242404855,15.00764355958037,1.033778973449016,0.014427694587396234,5910
1,49.92519081556311,603.1773944522872,0.004913687804187056,63.18224410380817,716.2897430594628,603.1773944522872,nan,6.506792509993348e-06,0.004907181011677066,51.17303157582771,1105.8612376745998,0.0027989022394166816,58.923024977169206,1215.9600931298362,1105.8612376745998,nan,19793.95069962455,279.8642817180642,0.0,1265.767771504103,70.72696300546497,46.0,46.0,,0.0002999964664522822,,,,,,,14.747631977323467,,0,14.517265242404855,15.00764355958037,inf,-inf,-7.356652049465654,7.14858922395456,-8.131311816801565,11.815655891470577,inf,-inf,1.9441093936042158,0.1814824013456944,0.1814824013456944,0.1814824013456944,784,3.961376257256014,1.99026148499417,2.009654979933707,,,-0.01379906851292933,14.741812635802699,0.07524337160708078,1.033778973449016,0.014427694587396234,0.0,0.0,14.753891399387403,14.743369555788698,0.07414768231798294,14.517265242404855,15.00764355958037,1.033778973449016,0.014427694587396234,5910
2,51.33728850672386,160.2965754166771,0.010607467948057133,67.63204085393313,279.27651224528216,160.2965754166771,nan,1.8392378730703618e-05,0.010589075569326435,51.17303157582771,1105.8612376745998,0.0027989022394166816,58.923024977169206,1215.9600931298362,1105.8612376745998,nan,6370.286527005403,77.17351937059432,0.0,380.68788900178015,82.54497888601792,46.0,46.0,,0.00029999204955799926,,,,,,,14.747631977323467,,0,14.517265242404855,15.00764355958037,inf,-inf,-3.078308817331863,5.468622381626015,-3.9950429360736455,6.06276762813883,inf,-inf,1.9153495940411611,0.1839519872352381,0.1839519872352381,0.1839519872352381,784,3.961376257256014,1.99026148499417,2.009654979933707,,,-0.01379906851292933,14.741812635802699,0.07524337160708078,1.033778973449016,0.014427694587396234,0.0,0.0,14.753891399387403,14.743369555788698,0.07414768231798294,14.517265242404855,15.00764355958037,1.033778973449016,0.014427694587396234,5910
3,51.672550240026965,59.20026449042518,0.01662924793161207,68.05831420170078,178.94775818008455,59.20026449042518,nan,3.645671820425608e-05,0.01659279121340781,51.17303157582771,1105.8612376745998,0.0027989022394166816,58.923024977169206,1215.9600931298362,1105.8612376745998,nan,4357.527723108785,36.760091847707805,0.0,178.60410294803566,118.53963099878655,46.0,46.0,,0.0002999858659813491,,,,,,,14.747631977323467,,0,14.517265242404855,15.00764355958037,inf,-inf,-1.8737729390233706,2.9779833527626436,-2.669973269687457,3.5634682379957576,inf,-inf,1.8904811634951668,0.18640489080833345,0.18640489080833345,0.18640489080833345,784,3.961376257256014,1.99026148499417,2.009654979933707,,,-0.01379906851292933,14.741812635802699,0.07524337160708078,1.033778973449016,0.014427694587396234,0.0,0.0,14.753891399387403,14.743369555788698,0.07414768231798294,14.517265242404855,15.00764355958037,1.033778973449016,0.014427694587396234,5910
4,49.96000851822593,21.141171945642217,0.022010576430759977,66.05231466756753,137.17550570786642,21.141171945642217,nan,6.064961334325671e-05,0.021949926817416723,51.17303157582771,1105.8612376745998,0.0027989022394166816,58.923024977169206,1215.9600931298362,1105.8612376745998,nan,2637.7243933643726,21.260041600583154,0.0,102.52526432265833,124.06957817486213,46.0,46.0,,0.0002999779157976767,,,,,,,14.747631977323467,,0,14.517265242404855,15.00764355958037,inf,-inf,-1.4478155837396847,2.2397556341246987,-1.8180890335641744,1.7949834611375233,inf,-inf,1.8673731773725661,0.1886975869142657,0.1886975869142657,0.1886975869142657,784,3.961376257256014,1.99026148499417,2.009654979933707,,,-0.01379906851292933,14.741812635802699,0.07524337160708078,1.033778973449016,0.014427694587396234,0.0,0.0,14.753891399387403,14.743369555788698,0.07414768231798294,14.517265242404855,15.00764355958037,1.033778973449016,0.014427694587396234,5910
5,47.197873375306806,5.858509538269606,0.02744370813035139,62.9356662115647,116.01949283327147,5.858509538269606,nan,9.131266538432431e-05,0.027352395464967053,46.38679434108998,-1.6191031790325177,0.03037997780016257,61.32092370400764,106.11899484386527,-1.6191031790325177,nan,2311.3423036897543,14.556269406263317,0.0,71.96559849071001,158.78672200826557,46.0,46.0,,0.00029996819910385256,,,,,,,13.46124818330229,,0,12.417175947241788,14.594206616264657,inf,-inf,-1.1047919456977773,1.7665032939140335,-1.3611963178063469,1.399314031138358,inf,-inf,1.8456597703540203,0.19093154504323612,0.19093154504323612,0.19093154504323612,784,3.7235134690168388,1.9285535143941772,2.0045064986776193,,,-0.08276362083255562,13.468428181462224,0.30844937043415854,1.175324137974098,0.07015765547614494,0.0,0.0,13.47387112345909,13.471481197610931,0.3148346767905419,12.627708103207667,14.525532335784094,1.1502904737000015,0.06080752313251425,5910
6,44.20574691837973,-2.0177865688330114,0.03428734753292564,59.0409052595719,101.26315295665154,-2.0177865688330114,nan,0.0001280986555541868,0.03415924887737145,46.38679434108998,-1.6191031790325177,0.03037997780016257,61.32092370400764,106.11899484386527,-1.6191031790325177,nan,1603.7754713946115,10.885478486932849,0.0,56.258130468430615,147.33164677325084,46.0,46.0,,0.0002999567160182715,,,,,,,13.46124818330229,,0,12.417175947241788,14.594206616264657,inf,-inf,-0.8710954592476534,1.4805512412549946,-0.9761401273253371,1.4193670804386556,inf,-inf,1.8267031808576195,0.19287336896299415,0.19287336896299415,0.19287336896299415,784,3.7235134690168388,1.9285535143941772,2.0045064986776193,,,-0.08276362083255562,13.468428181462224,0.30844937043415854,1.175324137974098,0.07015765547614494,0.0,0.0,13.47387112345909,13.471481197610931,0.3148346767905419,12.627708103207667,14.525532335784094,1.1502904737000015,0.06080752313251425,5910
7,40.98461357404128,-6.426422925039441,0.042442534085802154,54.64589343133788,89.24652661442553,-6.426422925039441,nan,0.0001706797501173026,0.04227185433568484,46.38679434108998,-1.6191031790325177,0.03037997780016257,61.32092370400764,106.11899484386527,-1.6191031790325177,nan,1278.1999711528258,9.339859278296128,0.0,47.47154562014624,136.85430722956332,46.0,46.0,,0.00029994346668085135,,,,,,,13.46124818330229,,0,12.417175947241788,14.594206616264657,inf,-inf,-0.8007145052817759,1.2003017221832053,-0.8021730476754391,1.0498935372755482,inf,-inf,1.8110466504952234,0.19463051914730833,0.19463051914730833,0.19463051914730833,784,3.7235134690168388,1.9285535143941772,2.0045064986776193,,,-0.08276362083255562,13.468428181462224,0.30844937043415854,1.175324137974098,0.07015765547614494,0.0,0.0,13.47387112345909,13.471481197610931,0.3148346767905419,12.627708103207667,14.525532335784094,1.1502904737000015,0.06080752313251425,5910
8,36.834580701171795,-8.91809269850184,0.05078291084305326,48.89745840529268,76.8647293188057,-8.91809269850184,nan,0.00021773916824781352,0.050565171674805454,46.38679434108998,-1.6191031790325177,0.03037997780016257,61.32092370400764,106.11899484386527,-1.6191031790325177,nan,941.1234950622404,9.50450037760725,0.0,42.541639033381806,99.01872351749724,46.0,46.0,,0.00029992845125303107,,,,,,,13.46124818330229,,0,12.417175947241788,14.594206616264657,inf,-inf,-0.7189031878320125,1.1916604439241243,-0.5784351107368897,0.8185466841975844,inf,-inf,1.8003090294922786,0.19589801303633467,0.19589801303633467,0.19589801303633467,784,3.7235134690168388,1.9285535143941772,2.0045064986776193,,,-0.08276362083255562,13.468428181462224,0.30844937043415854,1.175324137974098,0.07015765547614494,0.0,0.0,13.47387112345909,13.471481197610931,0.3148346767905419,12.627708103207667,14.525532335784094,1.1502904737000015,0.06080752313251425,5910
9,32.409657615029566,-10.58057743958928,0.058454727301848086,42.10135609385045,63.98889099659258,-10.58057743958928,nan,0.00026851890456930816,0.058186208397278796,46.38679434108998,-1.6191031790325177,0.03037997780016257,61.32092370400764,106.11899484386527,-1.6191031790325177,nan,679.2181822855061,9.923571328273663,0.0,39.20386010365906,68.44493376596358,46.0,46.0,,0.00029991166991776886,,,,,,,13.46124818330229,,0,12.417175947241788,14.594206616264657,inf,-inf,-0.7087829438208553,1.039377514116637,-0.6118946838254511,0.5040792228630421,inf,-inf,1.794612904174572,0.1966443971293061,0.1966443971293061,0.1966443971293061,784,3.7235134690168388,1.9285535143941772,2.0045064986776193,,,-0.08276362083255562,13.468428181462224,0.30844937043415854,1.175324137974098,0.07015765547614494,0.0,0.0,13.47387112345909,13.471481197610931,0.3148346767905419,12.627708103207667,14.525532335784094,1.1502904737000015,0.06080752313251425,5910
