epoch,train_data,train_phys,train_kl,train_state_reg,train_total,train_pde,train_bc,train_eta_prior,train_kl_only,test_data,test_phys,test_kl,test_state_reg,test_total,test_pde,test_bc,grad_mean_net,grad_vgp_eta,grad_vgp_lambda,grad_eta_log_shift,grad_ratio,vgp_updates,mean_updates,lr_mean_net,lr_vgp_eta,lr_vgp_lambda,mean_net_opt_kind,log10_eta_rmse,log10_eta_bias,log10_eta_r,rel_eta_rmse,eta_pred_mean,eta_ref_mean,mean_net_frozen,eta_min,eta_max,lambda_min,lambda_max,rux_min,rux_max,rvy_min,rvy_max,rh_min,rh_max,kernel_amplitude,kernel_length_scale,kernel_length_scale_x,kernel_length_scale_y,num_inducing,eta_post_var_mean,eta_post_std_mean,eta_post_std_p90,calibration_within_1sigma,calibration_within_2sigma,eta_log_shift,eta_median,eta_std,eta_max_over_min,eta_log10_range,eta_frac_at_floor,eta_frac_at_floor_grounded,eta_mean_grounded,eta_median_grounded,eta_min_grounded,eta_max_grounded
0,1.860166640256493,13274.960861173935,0.002364732123941677,0.0,13276.823392546316,13274.960861173935,nan,1.8608154408216712e-06,0.0023628713085008554,1.920822918985497,10988.60765845516,0.006867886377423133,0.0,10990.535349260523,10988.60765845516,nan,0.0,8016.091860301871,0.0,26541.97153263106,0.0,46.0,0.0,,0.0002999920495579992,,,,,,,14.745395013193361,,1,14.520131674643512,15.024643049253369,inf,-inf,-26.12637708690835,26.12229112445931,-28.301234403212213,32.14187846099892,inf,-inf,1.9735664793101741,0.17898647041350912,0.17898647041350912,0.17898647041350912,784,3.9608799527286283,1.9901216616249549,2.013402916361952,,,-0.013799068513379949,14.73651330540266,0.08408427936026325,1.034745647347736,0.014833608219126937,0.0,0.0,14.750081604457623,14.737375917771665,14.561054763053573,15.024643049253369
1,1.8720176267197468,11711.245946545225,0.01699181171275246,0.0,11713.134955983658,11711.245946545225,nan,1.3332364475065262e-05,0.01697847934827739,1.920822918985497,10988.60765845516,0.006867886377423133,0.0,10990.535349260523,10988.60765845516,nan,0.0,6890.443213416962,0.0,23415.53616848423,0.0,46.0,0.0,,0.00029996819910385256,,,,,,,14.745395013193361,,1,14.520131674643512,15.024643049253369,inf,-inf,-25.243415038894906,24.188694278194102,-27.312032617015234,29.6232395242047,inf,-inf,1.9474092079684642,0.1814967251973266,0.1814967251973266,0.1814967251973266,784,3.9608799527286283,1.9901216616249549,2.013402916361952,,,-0.013799068513379949,14.73651330540266,0.08408427936026325,1.034745647347736,0.014833608219126937,0.0,0.0,14.750081604457623,14.737375917771665,14.561054763053573,15.024643049253369
2,1.8678511306683985,10354.194479435375,0.04638196191061707,0.0,10356.108712527954,10354.194479435375,nan,3.650257461462356e-05,0.04634545933600243,1.920822918985497,10988.60765845516,0.006867886377423133,0.0,10990.535349260523,10988.60765845516,nan,0.0,6048.342985642661,0.0,20702.4436117934,0.0,46.0,0.0,,0.000299928451253031,,,,,,,14.745395013193361,,1,14.520131674643512,15.024643049253369,inf,-inf,-24.120380826257556,22.213429094834733,-25.09009179457575,27.890525362116623,inf,-inf,1.9224140223417001,0.18401839417814236,0.18401839417814236,0.18401839417814236,784,3.9608799527286283,1.9901216616249549,2.013402916361952,,,-0.013799068513379949,14.73651330540266,0.08408427936026325,1.034745647347736,0.014833608219126937,0.0,0.0,14.750081604457623,14.737375917771665,14.561054763053573,15.024643049253369
3,1.8593858370156924,9176.870419799132,0.08572402547480877,0.0,9178.815529661622,9176.870419799132,nan,7.149835913070555e-05,0.08565252711567804,1.920822918985497,10988.60765845516,0.006867886377423133,0.0,10990.535349260523,10988.60765845516,nan,0.0,5243.249513594843,0.0,18348.82054840806,0.0,46.0,0.0,,0.0002998728103643344,,,,,,,14.745395013193361,,1,14.520131674643512,15.024643049253369,inf,-inf,-23.60218998959124,21.350074314644736,-22.958744410681202,25.703498808211503,inf,-inf,1.898026858758576,0.18658257108548978,0.18658257108548978,0.18658257108548978,784,3.9608799527286283,1.9901216616249549,2.013402916361952,,,-0.013799068513379949,14.73651330540266,0.08408427936026325,1.034745647347736,0.014833608219126937,0.0,0.0,14.750081604457623,14.737375917771665,14.561054763053573,15.024643049253369
4,1.862471106251207,8153.702463960041,0.1290443259641875,0.0,8155.693979392257,8153.702463960041,nan,0.00011865419658306706,0.12892567176760444,1.920822918985497,10988.60765845516,0.006867886377423133,0.0,10990.535349260523,10988.60765845516,nan,0.0,4617.144069347158,0.0,16303.668790663096,0.0,46.0,0.0,,0.00029980128253941313,,,,,,,14.745395013193361,,1,14.520131674643512,15.024643049253369,inf,-inf,-22.660563668774525,20.824865504742696,-20.894511017741063,23.54640343834492,inf,-inf,1.8744513617576914,0.18913928937337554,0.18913928937337554,0.18913928937337554,784,3.9608799527286283,1.9901216616249549,2.013402916361952,,,-0.013799068513379949,14.73651330540266,0.08408427936026325,1.034745647347736,0.014833608219126937,0.0,0.0,14.750081604457623,14.737375917771665,14.561054763053573,15.024643049253369
5,1.8845404536419457,7280.219596909207,0.17372455313985172,0.0,7282.277861915989,7280.219596909207,nan,0.00017722203571259265,0.17354733110413917,1.920822918985497,6452.1403367138555,0.1960241671805255,0.0,6454.257183800021,6452.1403367138555,nan,0.0,4066.469149537857,0.0,14558.28317908744,0.0,46.0,0.0,,0.0002997138756220993,,,,,,,13.505855279248674,,1,12.58514476709004,15.030961988668036,inf,-inf,-21.867298488245613,20.026347654278702,-19.303877732110504,21.253141116492404,inf,-inf,1.8523488707963056,0.19163356821560568,0.19163356821560568,0.19163356821560568,784,3.8289609130274678,1.9537903459144066,2.091661557114685,,,-0.08274575924327877,13.447686518244117,0.39122330448907283,1.1943416040770363,0.07712856092000187,0.0,0.0,13.534184384762252,13.438028924890727,12.735200065017763,15.030961988668036
6,1.8713849417786523,6520.616872012939,0.21754919824621172,0.0,6522.705806152964,6520.616872012939,nan,0.00024867133237942775,0.21730052691383228,1.920822918985497,6452.1403367138555,0.1960241671805255,0.0,6454.257183800021,6452.1403367138555,nan,0.0,3569.4463473076203,0.0,13040.696043784075,0.0,46.0,0.0,,0.0002996105991975463,,,,,,,13.505855279248674,,1,12.58514476709004,15.030961988668036,inf,-inf,-20.890732697182575,19.278967391069493,-17.510624298566576,20.43770970655767,inf,-inf,1.830378309389175,0.19422847296743043,0.19422847296743043,0.19422847296743043,784,3.8289609130274678,1.9537903459144066,2.091661557114685,,,-0.08274575924327877,13.447686518244117,0.39122330448907283,1.1943416040770363,0.07712856092000187,0.0,0.0,13.534184384762252,13.438028924890727,12.735200065017763,15.030961988668036
7,1.869003642192762,5874.97458962751,0.26163126862165087,0.0,5877.105224538324,5874.97458962751,nan,0.00033259747887301076,0.26129867114277794,1.920822918985497,6452.1403367138555,0.1960241671805255,0.0,6454.257183800021,6452.1403367138555,nan,0.0,3113.2041353271284,0.0,11750.958241699283,0.0,46.0,0.0,,0.000299491464591178,,,,,,,13.505855279248674,,1,12.58514476709004,15.030961988668036,inf,-inf,-20.06086103801833,18.40494325498923,-16.835638771510588,18.85881662561519,inf,-inf,1.809428540364935,0.1968426739672196,0.1968426739672196,0.1968426739672196,784,3.8289609130274678,1.9537903459144066,2.091661557114685,,,-0.08274575924327877,13.447686518244117,0.39122330448907283,1.1943416040770363,0.07712856092000187,0.0,0.0,13.534184384762252,13.438028924890727,12.735200065017763,15.030961988668036
8,1.8704740170743945,5311.593172219124,0.301313756527794,0.0,5313.764959992726,5311.593172219124,nan,0.0004296354482869025,0.30088412107950707,1.920822918985497,6452.1403367138555,0.1960241671805255,0.0,6454.257183800021,6452.1403367138555,nan,0.0,2808.810822497652,0.0,10625.50878015401,0.0,46.0,0.0,,0.00029935648486744646,,,,,,,13.505855279248674,,1,12.58514476709004,15.030961988668036,inf,-inf,-19.371476352461848,18.729418341660107,-16.009407401192973,17.88491988489695,inf,-inf,1.789211953408138,0.19943635866932435,0.19943635866932435,0.19943635866932435,784,3.8289609130274678,1.9537903459144066,2.091661557114685,,,-0.08274575924327877,13.447686518244117,0.39122330448907283,1.1943416040770363,0.07712856092000187,0.0,0.0,13.534184384762252,13.438028924890727,12.735200065017763,15.030961988668036
9,1.8703329332929868,4829.358888789467,0.3408220758958204,0.0,4831.570043798655,4829.358888789467,nan,0.000538754806148097,0.34028332108967235,1.920822918985497,6452.1403367138555,0.1960241671805255,0.0,6454.257183800021,6452.1403367138555,nan,0.0,2460.5914533929295,0.0,9662.298867388577,0.0,46.0,0.0,,0.00029920567482839947,,,,,,,13.505855279248674,,1,12.58514476709004,15.030961988668036,inf,-inf,-18.07947630204604,19.014238441083933,-15.38091585208651,17.050463454373887,inf,-inf,1.7695558595896732,0.201975732616652,0.201975732616652,0.201975732616652,784,3.8289609130274678,1.9537903459144066,2.091661557114685,,,-0.08274575924327877,13.447686518244117,0.39122330448907283,1.1943416040770363,0.07712856092000187,0.0,0.0,13.534184384762252,13.438028924890727,12.735200065017763,15.030961988668036
