rank,tag,score,log10_eta_corr_full,log10_eta_corr_grounded,log10_eta_corr_floating,mean_abs_deta_full,mean_abs_deta_grounded,max_abs_deta_grounded,phys_no,phys_max,elbo_no,elbo_max,shift_no,shift_max
1,unfreeze_float0,7.8402030114143075,0.4853049010699932,0.4429152851329922,0.5625752898686351,2.8009502039087937,2.5693558627442306,4.7906129152943295,,,,,-1.023075445685842,-1.781226570944877
2,phys_w10_Cextreme,0.7955192776350352,0.9424873681572166,0.901523066605008,0.9733547207536377,0.053623702103670144,0.11074994368511568,2.0886857393607112,,,,,-2.1068542945856845,-2.100844598351774
3,phys_w10,0.6814673208819326,0.9493173983313422,0.9123275122119421,0.9776777974236398,0.04986756728826257,0.10474244300135377,1.9966704107550102,,,,,-2.1068543649038056,-2.10148064504642
4,phys_w5,0.6544457714807994,0.952289131920355,0.9146925637525911,0.9802565577441533,0.04689140942130871,0.1013714090067108,2.0724353125083903,,,,,-2.1087606858279178,-2.1046314044923538
5,phys_w2,0.5771748327239844,0.9588976771154915,0.9216553627815613,0.9853600290220674,0.041438050655980996,0.09372846053959814,2.115708855210068,,,,,-2.111397301513008,-2.1089486575644663
6,baseline,0.4862948386395801,0.9658789569977373,0.9298626109573012,0.9903379886201519,0.03595923671092821,0.08492094821259201,2.0196028018597616,,,,,-2.113192104336469,-2.1117007937458223
7,gp_short_ls,0.3696852026225721,0.9719349683016429,0.9408871803798062,0.9921706814323652,0.03316653704432924,0.07855700642063466,1.3570520824744339,,,,,-2.1189436442221403,-2.118022138414721
8,freeze_shift,-0.01887380058599039,0.9962540525154098,0.9907173558263282,0.999398355960506,0.07616853648139181,0.18829975767729237,4.8393124105179,,,,,0.0,0.0
9,gp_flex,-0.21264168597876948,0.9972841562206991,0.9933642443326866,0.9995808650344027,0.008215746529881588,0.021000757348096318,0.23898247401386685,,,,,-2.1228165999191915,-2.122816599909292
